Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-08 00:00:00-04:00,98.81999969482422,99.16999816894531,96.51000213623047,97.08999633789062,16875000,0.0,0.0
2025-07-09 00:00:00-04:00,97.1500015258789,97.29000091552734,96.37999725341797,96.80999755859375,13702600,0.0,0.0
2025-07-10 00:00:00-04:00,96.66000366210938,96.77999877929688,94.73999786376953,94.86000061035156,18894800,0.0,0.0
2025-07-11 00:00:00-04:00,95.01000213623047,95.52999877929688,94.2300033569336,94.4000015258789,14595000,0.0,0.0
2025-07-14 00:00:00-04:00,94.51000213623047,95.83999633789062,94.37999725341797,95.77999877929688,13779100,0.0,0.0
2025-07-15 00:00:00-04:00,95.5999984741211,95.77999877929688,94.94000244140625,95.38999938964844,10450800,0.0,0.0
2025-07-16 00:00:00-04:00,95.41999816894531,95.83000183105469,94.61000061035156,95.1500015258789,11181600,0.0,0.0
2025-07-17 00:00:00-04:00,95.08000183105469,95.62999725341797,94.88999938964844,95.08999633789062,11165100,0.0,0.0
2025-07-18 00:00:00-04:00,95.08999633789062,95.4800033569336,94.43000030517578,95.05000305175781,14636300,0.0,0.0
2025-07-21 00:00:00-04:00,95.26000213623047,96.63999938964844,95.0999984741211,95.66999816894531,13450400,0.0,0.0
2025-07-22 00:00:00-04:00,95.83999633789062,96.66999816894531,95.73999786376953,95.8499984741211,9049100,0.0,0.0
2025-07-23 00:00:00-04:00,96.01000213623047,96.29000091552734,95.29000091552734,95.68000030517578,9729700,0.0,0.0
2025-07-24 00:00:00-04:00,95.56999969482422,96.95999908447266,95.3499984741211,96.5999984741211,14991500,0.0,0.0
2025-07-25 00:00:00-04:00,96.83999633789062,97.6500015258789,96.52999877929688,97.47000122070312,12847900,0.0,0.0
2025-07-28 00:00:00-04:00,97.27999877929688,98.125,97.08000183105469,97.61000061035156,12284533,0.0,0.0
